isbn10,isbn13,title,author,rank,weeks_on_list,amazon_url,listname,description,listpublisheddate
039333838X,9780393338386,THE BLIND SIDE,Michael Lewis,1,12,http://www.amazon.com/The-Blind-Side-Michael-Lewis/dp/B007CGTKYM?tag=NYTBS-20,paperback-nonfiction,"The evolving business of football, viewed through the rise of the left tackle Michael Oher.",2010-01-03
0143038257,9780143038252,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,2,151,http://www.amazon.com/Three-Cups-Tea-Readers-Edition/dp/0803733925?tag=NYTBS-20,paperback-nonfiction,A former climber builds schools in villages in Pakistan and Afghanistan.,2010-01-03
0060731338,9780060731335,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,3,17,http://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,paperback-nonfiction,A scholar and a journalist apply economic theory to nearly everything.,2010-01-03
1439168571,9781439168578,GLENN BECK’S ‘COMMON SENSE’,Glenn Beck,4,28,http://www.amazon.com/Glenn-Becks-Common-Sense-Control/dp/1439168571?tag=NYTBS-20,paperback-nonfiction,Thomas Paine-inspired thoughts on government.,2010-01-03
0316010669,9780316010665,BLINK,Malcolm Gladwell,5,114,http://www.amazon.com/Blink-The-Power-Thinking-Without/dp/0316010669?tag=NYTBS-20,paperback-nonfiction,Instinct in the workings of the mind.,2010-01-03
074324754X,9780743247542,THE GLASS CASTLE,Jeannette Walls,6,157,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=NYTBS-20,paperback-nonfiction,The author recalls a bizarre childhood.,2010-01-03
1400049628,9781400049622,THE ZOMBIE SURVIVAL GUIDE,Max Brooks,7,11,http://www.amazon.com/The-Zombie-Survival-Guide-Protection/dp/1400049628?tag=NYTBS-20,paperback-nonfiction,The comedy writer offers a plan for safeguarding yourself from the living dead.,2010-01-03
0316346624,9780316346627,TIPPING POINT,Malcolm Gladwell,8,272,http://www.amazon.com/The-Tipping-Point-Little-Difference-ebook/dp/B000OT8GD0?tag=NYTBS-20,paperback-nonfiction,"A study of social epidemics, otherwise known as fads.",2010-01-03
0806527285,9780806527284,I HOPE THEY SERVE BEER IN HELL,Tucker Max,9,116,http://www.amazon.com/Hope-They-Serve-Beer-Hell/dp/0806527285?tag=NYTBS-20,paperback-nonfiction,"Life as a self-absorbed, drunken womanizer.",2010-01-03
084991910X,9780849919107,SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent,10,62,http://www.amazon.com/Same-Kind-Different-Modern-Day-International-ebook/dp/B007FZXJGA?tag=NYTBS-20,paperback-nonfiction,The unlikely friendship between a homeless drifter and a successful art dealer who meet at a shelter in Texas.,2010-01-03
